Feature,Importance
Expected_ROI,0.19565418859215727
Target_ROAS,0.1529109875415951
Conversions,0.12229949244631516
Clicks,0.03780061080768933
Impressions,0.029155774651374124
CTR,0.025684946461686158
CPC,0.02469556533521177
Revenue,0.02362591594838923
Estimated_Revenue,0.023136985853290222
Audience_Size,0.023135682016084312
AI_Campaign_Score,0.022803982038457047
Spend,0.02058762498294132
Product_ID,0.020133134205498022
Engagement_Rate,0.019410064026073474
Bounce_Rate,0.019148125517617395
Budget,0.018368197429049212
Success_Probability,0.01833033563372782
CPM,0.017251889395407966
Campaign_ID,0.016869166280276748
Optimization_Score,0.016453938600467666
Avg_Session_Duration,0.016152547583752237
Expected_Conversions,0.015663941567015897
Campaign_Duration,0.015597684854684416
Target_CPA,0.014777317183259493
Region_Target,0.00998299021664657
Marketing_Channel,0.009832059384322108
Industry,0.008943094470479874
Device_Target,0.008445922873744776
Target_Audience,0.008232240398662298
Campaign_Objective,0.008175632656890218
Campaign_Type,0.007217145712972999
Creative_Type,0.0061972356419510025
Bid_Strategy,0.005895502409855971
Campaign_Status,0.005709277918982911
Risk_Level,0.004125440107661328
Priority,0.0036266382871894074
Funnel_Stage,0.0024399325586521503
Budget_Category,0.0015287884099669214
